fixture_id,complexity,neutral_pass,explicit_pass,transition,baseline_condition,baseline_abs_raw_ab_margin,neutral_abs_raw_ab_margin
RESCS1-048,LOW,0,0,no_change,EL,3.0,5.25
RESCS1-048,HIGH,0,0,no_change,EH,0.5,3.625
RESCS1-049,LOW,0,1,fail_to_pass,EL,2.25,0.25
RESCS1-049,HIGH,0,1,fail_to_pass,EH,5.375,1.0
RESCS1-050,LOW,0,0,no_change,EL,7.0,4.0
RESCS1-050,HIGH,0,1,fail_to_pass,EH,0.75,2.75
RESCS1-051,LOW,1,1,no_change,EL,11.5,12.125
RESCS1-051,HIGH,1,1,no_change,EH,12.5,10.5
RESCS1-052,LOW,1,0,pass_to_fail,EL,0.75,3.125
RESCS1-052,HIGH,1,0,pass_to_fail,EH,7.25,1.0
RESCS1-053,LOW,0,0,no_change,EL,4.5,3.875
RESCS1-053,HIGH,0,0,no_change,EH,6.0,2.75
RESCS1-054,LOW,0,0,no_change,EL,13.875,14.125
RESCS1-054,HIGH,0,0,no_change,EH,12.625,13.375
RESCS1-055,LOW,1,1,no_change,EL,12.875,16.125
RESCS1-055,HIGH,1,1,no_change,EH,14.5,12.5
RESCS1-056,LOW,0,0,no_change,EL,1.25,3.25
RESCS1-056,HIGH,0,1,fail_to_pass,EH,5.5,1.25
RESCS1-057,LOW,1,1,no_change,EL,0.875,1.25
RESCS1-057,HIGH,1,1,no_change,EH,3.0,2.875
RESCS1-058,LOW,0,0,no_change,EL,1.75,0.0
RESCS1-058,HIGH,0,0,no_change,EH,3.25,0.125
RESCS1-059,LOW,1,1,no_change,EL,0.75,2.875
RESCS1-059,HIGH,1,1,no_change,EH,5.0,5.75
RESCS1-060,LOW,0,0,no_change,EL,0.25,3.25
RESCS1-060,HIGH,0,0,no_change,EH,5.375,3.5
RESCS1-061,LOW,0,1,fail_to_pass,EL,1.5,2.75
RESCS1-061,HIGH,0,0,no_change,EH,5.125,1.875
RESCS1-062,LOW,0,0,no_change,EL,0.125,3.0
RESCS1-062,HIGH,0,0,no_change,EH,7.0,5.875
RESCS1-063,LOW,1,1,no_change,EL,1.625,0.375
RESCS1-063,HIGH,1,1,no_change,EH,0.5,1.5
